Time,/SystemB/Rocket/FlightComputer/flight_stage,/SystemB/Rocket/FlightComputer/acceleration_x,/SystemB/Rocket/FlightComputer/acceleration_y,/SystemB/Rocket/FlightComputer/acceleration_z,/SystemB/Rocket/FlightComputer/gps_altitude,/SystemB/Rocket/FlightComputer/gps_latitude,/SystemB/Rocket/FlightComputer/gps_longitude,/SystemB/Rocket/FlightComputer/barometer_altitude_from_pad
2026-03-28T18:16:00.057Z,Pad,0.028,-0.003,1.007,266.415,42.7038,-77.191734,-31.48108
2026-03-28T18:16:00.058Z,Pad,,,,,,,
2026-03-28T18:16:00.058Z,Pad,,,,,,,
2026-03-28T18:16:00.058Z,Pad,0.013,0.005,1.006,266.415,42.7038,-77.191734,-31.48108
2026-03-28T18:16:00.058Z,Pad,,,,,,,
2026-03-28T18:16:00.058Z,Pad,0.046,0.004,1.011,266.416,42.7038,-77.191734,-28.719727
2026-03-28T18:16:00.569Z,Pad,,,,,,,
2026-03-28T18:16:00.569Z,Pad,0.03,-0.01,1.007,266.416,42.7038,-77.191734,-28.719727
2026-03-28T18:16:00.569Z,Pad,0.012,-0.01,1.004,266.416,42.7038,-77.191734,-28.719727
2026-03-28T18:16:00.570Z,Pad,,,,,,,
2026-03-28T18:16:00.570Z,Pad,0.022,0.002,1.008,266.416,42.7038,-77.191734,-28.719727
2026-03-28T18:16:00.571Z,Pad,,,,,,,
2026-03-28T18:16:00.677Z,Pad,,,,,,,
2026-03-28T18:16:01.079Z,Pad,0.033,0.015,1.008,266.416,42.7038,-77.191734,-33.138153
2026-03-28T18:16:01.080Z,Pad,,,,,,,
2026-03-28T18:16:01.080Z,Pad,,,,,,,
2026-03-28T18:16:01.080Z,Pad,0.03,0.009,1.008,266.416,42.7038,-77.191734,-28.719727
2026-03-28T18:16:01.082Z,Pad,,,,,,,
2026-03-28T18:16:01.082Z,Pad,0.018,-0.02,1.006,266.376,42.7038,-77.191734,-30.100433
2026-03-28T18:16:01.591Z,Pad,0.023,-0.009,1.007,266.376,42.7038,-77.191734,-24.852081
2026-03-28T18:16:01.592Z,Pad,,,,,,,
2026-03-28T18:16:01.592Z,Pad,0.035,0.01,1.009,266.376,42.7038,-77.191734,-27.61377
